,datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
10,df_normalized,GradientBoosting_Regression,kfold,20611.39361022642,24979.006580819947,2512.5616902790994,None
11,df_normalized,XGBoost_Regression,kfold,22676.030844727728,27492.64444995943,3183.0201623726507,None
12,df_normalized,LightGBM_Regression,kfold,21695.873220179208,25145.634069562962,2699.103716353977,None
0,df_normalized,Linear_Regression,repeatedkfold,23103.885366591796,6373803313064778.0,1.1059505518709774e+16,None
1,df_normalized,KNeighbors_Regression,repeatedkfold,22101.592619104842,31420.30820865247,3727.755648841372,None
2,df_normalized,Decision_Tree,repeatedkfold,32930.38141093366,40489.26653958041,4527.928746879199,None
3,df_normalized,Random_Forest,repeatedkfold,21500.640181983224,28218.61109036937,3324.9579009935055,None
4,df_normalized,SGD_Regression,repeatedkfold,18773.87267902234,25551.748173473257,2897.9939689335574,None
5,df_normalized,Ridge_Regression,repeatedkfold,19541.71716084242,25984.06916221429,2782.3860614533787,None
6,df_normalized,Lasso_Regression,repeatedkfold,21509.63655866459,27308.03452649539,3139.7280846603076,None
7,df_normalized,ElasticNet_Regression,repeatedkfold,30563.22359802802,40101.328770406755,6202.900838170932,None
8,df_normalized,Logistic_Regression,repeatedkfold,30930.883946121,41638.047952487395,5196.151597607336,None
9,df_normalized,LinearSVR,repeatedkfold,139619.91571185322,157986.13973600967,8708.231851828526,None
10,df_normalized,GradientBoosting_Regression,repeatedkfold,19941.9329331786,25161.508220822296,2989.6292706470304,None
11,df_normalized,XGBoost_Regression,repeatedkfold,21428.15592142628,27015.646807172634,3234.2600230630687,None
12,df_normalized,LightGBM_Regression,repeatedkfold,19340.264734821656,25199.731152953234,3310.473936233474,None
0,df_normalized,Linear_Regression,stratifiedkfold,23582.883946497826,4659444736170239.0,4970859594419024.0,None
1,df_normalized,KNeighbors_Regression,stratifiedkfold,27187.53871031123,31677.403156923403,3530.5137203312647,None
2,df_normalized,Decision_Tree,stratifiedkfold,35154.46907237925,40308.21342790248,4685.157469548602,None
3,df_normalized,Random_Forest,stratifiedkfold,22823.410881185562,28405.107008536765,3740.884791634725,None
4,df_normalized,SGD_Regression,stratifiedkfold,23463.976871088606,25527.939561531755,1673.7340510913702,None
5,df_normalized,Ridge_Regression,stratifiedkfold,22889.669856860295,25559.710215896477,1578.199864996521,None
6,df_normalized,Lasso_Regression,stratifiedkfold,23980.372667256866,26290.440918609453,2403.000871724949,None
7,df_normalized,ElasticNet_Regression,stratifiedkfold,31093.0328363847,39976.566789433215,7227.086536255798,None
8,df_normalized,Logistic_Regression,stratifiedkfold,36774.16026233638,42092.322610027375,3883.1389784435155,None
9,df_normalized,LinearSVR,stratifiedkfold,145668.90226723917,158030.02634840846,7576.195301919805,None
10,df_normalized,GradientBoosting_Regression,stratifiedkfold,20035.723151683203,24889.62337892616,2203.841838863126,None
11,df_normalized,XGBoost_Regression,stratifiedkfold,19678.33549906857,26568.553770855535,3388.583192631704,None
12,df_normalized,LightGBM_Regression,stratifiedkfold,19019.359823907296,25685.175355478983,3788.604223978114,None
0,df_normalized,Linear_Regression,shufflesplit,29145.454324538798,1.1779300465645544e+16,8888035948684272.0,None
1,df_normalized,KNeighbors_Regression,shufflesplit,30657.004882323105,32141.574770159223,953.4563435362303,None
2,df_normalized,Decision_Tree,shufflesplit,37464.419939650645,41720.86913065727,2850.5145624404513,None
3,df_normalized,Random_Forest,shufflesplit,25833.18372920931,28643.8828027384,1921.8211970958496,None
4,df_normalized,SGD_Regression,shufflesplit,24553.425234761147,26045.96189935585,1200.9218733925165,None
5,df_normalized,Ridge_Regression,shufflesplit,25202.81039789715,26595.4095319321,900.0790814252767,None
6,df_normalized,Lasso_Regression,shufflesplit,26913.868593093175,29288.535412562305,1153.5864372290712,None
7,df_normalized,ElasticNet_Regression,shufflesplit,38023.615067573024,40821.99933961738,2425.3526063219306,None
8,df_normalized,Logistic_Regression,shufflesplit,39351.374979458,42043.68247213149,1561.200396379735,None
9,df_normalized,LinearSVR,shufflesplit,156875.96348291403,163152.5756580579,2535.267263416145,None
10,df_normalized,GradientBoosting_Regression,shufflesplit,23894.448016792187,25489.306375000207,1028.1882364407902,None
11,df_normalized,XGBoost_Regression,shufflesplit,25444.51342902604,27320.244417316455,1318.1194448861258,None
12,df_normalized,LightGBM_Regression,shufflesplit,24164.65727424651,26315.374284550177,1294.4651316303305,None
